loss,accuracy
5.3394,0.0273
5.3829,0.0469
5.1628,0.0352
5.4061,0.0391
5.0608,0.0547
5.2377,0.0742
5.1232,0.0586
5.1226,0.0547
5.1517,0.0703
5.1170,0.0586
5.1849,0.0664
5.2812,0.0664
5.2240,0.0625
5.0962,0.0547
5.2366,0.0430
5.0378,0.0703
5.2384,0.0508
5.4005,0.0469
5.0869,0.0703
5.1857,0.0938
5.1739,0.0625
5.2942,0.0391
5.2035,0.0352
5.1153,0.0469
5.4372,0.0703
5.2466,0.0820
5.1943,0.0547
5.1268,0.0664
5.2932,0.0625
5.2409,0.0508
5.0950,0.0742
5.3117,0.0508
5.2623,0.0391
5.3321,0.0352
5.1699,0.0469
5.3011,0.0781
5.3473,0.0430
5.5261,0.0469
5.4847,0.0508
5.1368,0.0703
5.4074,0.0586
5.0123,0.0703
5.1720,0.0781
5.1735,0.0430
5.3384,0.0391
5.3599,0.0352
5.3263,0.0352
5.2903,0.0273
5.4847,0.0625
5.3289,0.0703
5.1939,0.0547
5.4776,0.0625
5.1737,0.0625
5.3119,0.0352
5.2623,0.0508
5.1348,0.0781
5.2767,0.0547
5.3122,0.0469
5.1074,0.0430
5.4439,0.0430
5.1380,0.0625
5.1478,0.0625
5.3146,0.0469
5.3634,0.0430
5.2879,0.0547
5.1666,0.0820
5.0008,0.1016
5.3652,0.0742
5.1988,0.0742
5.3869,0.0664
5.4492,0.0508
5.3959,0.0234
5.2937,0.0664
5.3808,0.0664
5.3208,0.0547
5.4059,0.0312
5.1970,0.0352
5.3133,0.0859
5.0897,0.0859
5.4213,0.0352
5.1480,0.0625
5.1386,0.0664
5.4344,0.0703
5.0710,0.0664
5.1979,0.0938
5.2673,0.0625
5.1876,0.0469
5.2323,0.0664
5.0910,0.0703
5.2115,0.0625
5.1320,0.0664
5.4283,0.0742
5.1601,0.0625
5.2474,0.0547
5.2254,0.0391
5.1532,0.0625
5.0134,0.0547
5.1381,0.0469
5.2079,0.0859
5.1911,0.0586
4.9744,0.0547
5.3917,0.0664
5.0339,0.0742
5.0423,0.0820
5.1815,0.0586
4.9865,0.0391
5.0038,0.0430
5.2263,0.0391
5.2810,0.0859
4.9953,0.0977
5.1528,0.0664
5.0264,0.0430
5.1013,0.0625
5.0214,0.0664
5.2331,0.0586
5.2122,0.0703
5.2702,0.0469
5.0868,0.0781
5.1190,0.0547
5.1936,0.0547
4.9558,0.0586
5.1135,0.0742
5.0450,0.0586
5.1219,0.0742
5.1724,0.0703
5.1790,0.0781
5.1600,0.0898
5.1937,0.0664
5.2508,0.0664
5.1067,0.0625
5.1806,0.0781
5.3139,0.0508
5.0652,0.0391
5.0423,0.0547
5.2094,0.0547
5.0567,0.0742
5.0663,0.0508
5.1897,0.0664
4.9638,0.0469
5.2777,0.0469
4.9997,0.0469
5.3941,0.0391
5.2238,0.0508
5.0987,0.0352
5.1737,0.0469
5.1782,0.0469
5.1264,0.0508
5.1100,0.0625
5.0989,0.0547
5.3441,0.0469
4.9757,0.0820
5.2403,0.0430
5.4335,0.0352
5.0726,0.0625
5.1944,0.0352
5.1018,0.0820
5.0451,0.0781
5.1639,0.0586
5.2016,0.0703
5.0940,0.0625
5.2012,0.0586
5.1299,0.0586
5.1725,0.0508
5.0832,0.0898
5.1232,0.0664
5.3234,0.0391
5.1121,0.0508
5.2561,0.0469
5.0493,0.0781
5.2463,0.0625
5.2575,0.0742
5.1189,0.0625
5.1736,0.0664
5.1354,0.0664
5.2931,0.0469
5.1489,0.0625
5.2475,0.0703
5.0702,0.0664
5.1482,0.0586
5.3148,0.0664
5.3194,0.0430
5.1041,0.0625
5.0574,0.0547
5.5221,0.0352
5.1739,0.0664
5.0670,0.0781
5.1144,0.0469
5.1187,0.0625
5.0561,0.0664
5.2697,0.0547
5.1197,0.0625
5.2077,0.0586
5.3926,0.0625
5.1855,0.0820
5.3075,0.0508
5.2146,0.0508
5.2585,0.0781
5.1527,0.0703
5.3205,0.0391
5.2239,0.0820
5.1964,0.0586
5.2046,0.0781
5.1514,0.0781
5.1746,0.0469
5.1844,0.0664
5.3051,0.0508
5.2299,0.0703
5.1391,0.0781
4.9483,0.0664
5.1238,0.0781
5.2519,0.0586
5.1500,0.0664
5.2224,0.0469
5.2685,0.0781
5.4301,0.0586
5.1997,0.0898
5.2026,0.0586
5.1666,0.0664
5.4630,0.0547
5.2260,0.0703
5.3216,0.0391
5.2862,0.0586
5.3197,0.0273
5.1312,0.0625
5.2174,0.0508
5.3560,0.0547
5.2762,0.0547
5.1461,0.0742
5.0505,0.0781
5.3547,0.0625
5.1729,0.0781
5.2012,0.0547
5.3746,0.0391
5.0548,0.0703
5.1770,0.0742
4.9889,0.0820
5.3084,0.0430
5.4083,0.0391
5.2616,0.0430
5.2667,0.0625
5.1743,0.0625
5.3106,0.0586
5.1783,0.0625
5.2854,0.0625
5.1568,0.0938
5.2818,0.0547
5.3965,0.0469
5.3021,0.0156
5.2692,0.0273
4.9923,0.0703
5.2498,0.0781
5.0798,0.0742
5.1557,0.0547
5.2308,0.0234
5.1837,0.0547
5.0766,0.0820
5.3617,0.0664
5.3282,0.0625
5.2823,0.0547
5.2204,0.0742
5.1413,0.0430
5.1042,0.0781
5.0167,0.0664
5.4424,0.0312
5.2441,0.0547
5.2514,0.0664
5.2242,0.0547
5.1058,0.0703
5.2239,0.0742
5.2199,0.0352
5.3942,0.0469
5.1852,0.0625
5.3156,0.0703
4.9906,0.0742
5.1423,0.0703
5.0058,0.1055
5.1691,0.0664
5.1416,0.0742
5.3011,0.0586
5.1163,0.0547
5.0347,0.0625
4.9396,0.0625
5.4557,0.0352
5.2865,0.0352
5.2902,0.0547
5.1999,0.0781
5.2376,0.0898
5.2972,0.0781
5.2632,0.0430
5.5457,0.0508
5.1862,0.0625
5.2321,0.0547
5.3047,0.0430
5.2098,0.0273
5.3167,0.0430
5.3865,0.0391
5.2186,0.0664
5.1153,0.0664
5.2970,0.0469
5.0750,0.0742
5.3795,0.0586
5.3359,0.0547
5.2676,0.0586
5.0298,0.0781
5.1027,0.0508
5.2363,0.0781
5.1507,0.0898
5.2727,0.0820
5.3154,0.0547
5.4373,0.0664
5.1478,0.0742
5.0882,0.0742
5.0965,0.0781
5.1370,0.0703
5.2052,0.0859
5.1881,0.0625
5.2648,0.0859
5.4013,0.0508
5.3384,0.0742
5.3335,0.0820
5.1314,0.0898
5.1979,0.0391
5.3639,0.0508
5.2162,0.0742
5.1905,0.0703
5.1143,0.0703
5.2112,0.0586
5.1545,0.0664
5.1753,0.0664
5.2761,0.0547
5.0575,0.0781
5.1247,0.0820
5.1965,0.0625
5.3554,0.0508
5.0904,0.0664
5.3604,0.0742
5.2557,0.0352
5.1148,0.0742
5.1109,0.0703
5.2545,0.0586
5.1009,0.0273
5.2266,0.0508
5.2507,0.0430
4.9850,0.0664
5.2670,0.0625
5.2686,0.0586
5.3201,0.0703
5.0959,0.0703
5.0969,0.0977
5.1254,0.0703
5.3344,0.0703
5.0520,0.0938
5.1536,0.0547
5.2764,0.0391
5.1655,0.0547
5.1503,0.0664
5.2672,0.0430
5.2349,0.0781
5.0035,0.0977
5.2987,0.0625
5.1156,0.0703
5.2508,0.1016
5.0900,0.0820
5.2495,0.0703
5.1458,0.0703
5.0711,0.0859
4.9683,0.0625
5.3056,0.0586
5.1645,0.0586
5.2490,0.0742
5.1046,0.0586
5.3948,0.0859
5.2031,0.0703
5.0722,0.0742
5.2293,0.0703
5.0803,0.0508
5.1019,0.0742
5.2897,0.0586
5.1111,0.1133
5.0150,0.0781
5.3338,0.0977
5.4181,0.0547
5.3418,0.0352
5.1175,0.0859
5.3477,0.0625
5.3920,0.0664
5.2382,0.0781
5.2782,0.0664
5.2205,0.0742
5.0408,0.0781
5.2314,0.0703
5.2341,0.0742
5.1750,0.0586
5.1984,0.0664
5.2334,0.0547
5.0677,0.1055
5.2628,0.0742
5.2055,0.0820
5.0889,0.0898
5.2526,0.0508
5.3449,0.0781
5.1519,0.0781
5.3506,0.0742
5.0557,0.0742
5.1343,0.0547
5.1554,0.1094
5.1872,0.0820
5.1915,0.0391
5.2766,0.0781
5.0262,0.0742
5.0853,0.0742
5.1876,0.0742
5.2573,0.0938
5.1920,0.0664
5.1747,0.0664
5.1924,0.0820
5.0879,0.0742
5.2757,0.0664
5.4429,0.0820
5.2009,0.0625
5.2329,0.0391
5.1273,0.0977
5.1484,0.0664
5.1915,0.0508
5.1862,0.1094
5.2405,0.0859
4.9816,0.1172
5.3767,0.0742
5.1300,0.0547
5.3858,0.0781
5.2080,0.0938
5.1960,0.0781
5.2090,0.0625
5.3050,0.0469
5.2738,0.0469
5.2729,0.0586
5.1061,0.0703
5.1644,0.0703
5.3607,0.0742
5.0403,0.0938
5.0256,0.0625
5.3484,0.0430
5.1255,0.1055
5.0292,0.0781
5.1159,0.1055
5.2985,0.0625
5.5125,0.0625
5.3226,0.0469
5.2010,0.0664
5.2247,0.0430
5.3729,0.0469
5.4228,0.0781
5.2202,0.0586
5.3622,0.0742
5.3061,0.0469
5.2924,0.0625
5.2431,0.1094
5.3360,0.0508
5.3093,0.0664
5.0309,0.0742
5.3352,0.0820
5.2361,0.0469
5.2688,0.0586
4.9935,0.0898
